speciesName,status,fbSpecCode,validName,class,order,family,genus,commonName,commonSpecies
Scomber grex,synonym,54736,Scomber colias,Teleostei,Scombriformes,Scombridae,Scomber,Atlantic chub mackerel,FALSE
Scomber japonicus colias,synonym,54736,Scomber colias,Teleostei,Scombriformes,Scombridae,Scomber,Atlantic chub mackerel,FALSE
Scomber macrophthalmus,synonym,54736,Scomber colias,Teleostei,Scombriformes,Scombridae,Scomber,Atlantic chub mackerel,FALSE
Scomber pneumatophorus,synonym,54736,Scomber colias,Teleostei,Scombriformes,Scombridae,Scomber,Atlantic chub mackerel,FALSE
Scomber scomber lacertus,synonym,54736,Scomber colias,Teleostei,Scombriformes,Scombridae,Scomber,Atlantic chub mackerel,FALSE
Scomber undulatus,synonym,54736,Scomber colias,Teleostei,Scombriformes,Scombridae,Scomber,Atlantic chub mackerel,FALSE
Thunnus obesus,accepted name,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Germo obesus,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Germo sibi,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Neothunnus obesus,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Orcynus sibi,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Parathunnus mebachi,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Parathunnus obesus,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Parathunnus obesus mebachi,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Parathunnus sibi,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Thunnus abesus,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Thunnus mebachi,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Thunnus obesus mebachi,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Thunnus obesus sibi,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Thunnus sibi,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Thunus obesus,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Thynnus obesus,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Thynnus sibi,synonym,146,Thunnus obesus,Teleostei,Scombriformes,Scombridae,Thunnus,Bigeye tuna,FALSE
Benthodesmus elongatus,accepted name,3909,Benthodesmus elongatus,Teleostei,Scombriformes,Trichiuridae,Benthodesmus,Elongate frostfish,FALSE
Benthodesmus elongatus elongatus,synonym,3909,Benthodesmus elongatus,Teleostei,Scombriformes,Trichiuridae,Benthodesmus,Elongate frostfish,FALSE
Lepidopus elongatus,synonym,3909,Benthodesmus elongatus,Teleostei,Scombriformes,Trichiuridae,Benthodesmus,Elongate frostfish,FALSE
Cyttopsis rosea,accepted name,4953,Cyttopsis rosea,Teleostei,Zeiformes,Parazenidae,Cyttopsis,Rosy dory,FALSE
Cyttopsis itea,synonym,4953,Cyttopsis rosea,Teleostei,Zeiformes,Parazenidae,Cyttopsis,Rosy dory,FALSE
Cyttopsis roseus,synonym,4953,Cyttopsis rosea,Teleostei,Zeiformes,Parazenidae,Cyttopsis,Rosy dory,FALSE
Cyttopsis scuutatus,synonym,4953,Cyttopsis rosea,Teleostei,Zeiformes,Parazenidae,Cyttopsis,Rosy dory,FALSE
Cyttus roseus,synonym,4953,Cyttopsis rosea,Teleostei,Zeiformes,Parazenidae,Cyttopsis,Rosy dory,FALSE
Paracyttopsis scutatus,synonym,4953,Cyttopsis rosea,Teleostei,Zeiformes,Parazenidae,Cyttopsis,Rosy dory,FALSE
Zen itea,synonym,4953,Cyttopsis rosea,Teleostei,Zeiformes,Parazenidae,Cyttopsis,Rosy dory,FALSE
Zen scutatus,synonym,4953,Cyttopsis rosea,Teleostei,Zeiformes,Parazenidae,Cyttopsis,Rosy dory,FALSE
Zeus roseus,synonym,4953,Cyttopsis rosea,Teleostei,Zeiformes,Parazenidae,Cyttopsis,Rosy dory,FALSE
Zenopsis conchifer,accepted name,336,Zenopsis conchifer,Teleostei,Zeiformes,Zeidae,Zenopsis,Silvery John dory,FALSE
Parazenopsis argenteus,synonym,336,Zenopsis conchifer,Teleostei,Zeiformes,Zeidae,Zenopsis,Silvery John dory,FALSE
Zenopsis conchifera,synonym,336,Zenopsis conchifer,Teleostei,Zeiformes,Zeidae,Zenopsis,Silvery John dory,FALSE
Zenopsis couchifer,synonym,336,Zenopsis conchifer,Teleostei,Zeiformes,Zeidae,Zenopsis,Silvery John dory,FALSE
Zenopsis figueirai,synonym,336,Zenopsis conchifer,Teleostei,Zeiformes,Zeidae,Zenopsis,Silvery John dory,FALSE
Zenopsis ocellata,synonym,336,Zenopsis conchifer,Teleostei,Zeiformes,Zeidae,Zenopsis,Silvery John dory,FALSE
Zenopsis ocellatus,synonym,336,Zenopsis conchifer,Teleostei,Zeiformes,Zeidae,Zenopsis,Silvery John dory,FALSE
Zeus conchifer,synonym,336,Zenopsis conchifer,Teleostei,Zeiformes,Zeidae,Zenopsis,Silvery John dory,FALSE
Zeus ocellatus,synonym,336,Zenopsis conchifer,Teleostei,Zeiformes,Zeidae,Zenopsis,Silvery John dory,FALSE
